"SERIES","CUADRO 1.1.1: Producto interno bruto, trimestral, volumen a precios del año anterior encadenadoBC00201","CUADRO 1.1.1: Producto interno bruto, trimestral, volumen a precios del año anterior encadenadoBC00202","CUADRO 1.1.1: Producto interno bruto, trimestral, volumen a precios del año anterior encadenadoBC00203","CUADRO 1.1.1: Producto interno bruto, trimestral, volumen a precios del año anterior encadenadoBC00204"
"DESCRIPCIÓN","PIB total","PIB total ","PIB desestacionalizado","PIB desestacionalizado"
"UNIDAD","Miles de millones de pesos encadenados","Variación porcentual respecto igual período del año anterior","Miles de millones de pesos encadenados","Variación porcentual respecto del período anterior"
"MAR2008","28196.074224603","5.36313351281377","28609.81911102","2.55817465321388"
"JUN2008","28946.4691330811","4.65510196466357","28612.112437526","0.00801587209309229"
"SEP2008","27351.6770678402","3.3975045331997","28394.448268558","-0.760741344922589"
"DIC2008","29316.4500173078","0.889686481634258","28127.737990171","-0.939304317042622"
"MAR2009","27393.0861535738","-2.8478718868194","27877.654945778","-0.889097603512912"
"JUN2009","27985.1018022689","-3.32119031993956","27703.359238104","-0.625216532785855"
"SEP2009","27051.3346836565","-1.09807666798202","28026.125648927","1.16508040793502"
"DIC2009","29600.876405962","0.970193827991788","28389.707842244","1.29729737842275"
"MAR2010","27890.1343793636","1.81450247337325","28462.732698763","0.257222994068074"
"JUN2010","29774.9021975483","6.39554720195552","29435.491036685","3.41765616189158"
"SEP2010","29082.7377316515","7.50943741501336","30145.676010753","2.41268261223468"
"DIC2010","31829.8798823192","7.53019419353491","30523.490642754","1.25329626665607"
"MAR2011","30471.532471531","9.25559574957586","30909.396436118","1.26429115817921"
"JUN2011","31679.5820039669","6.39693052148923","31306.509721269","1.2847655759689"
"SEP2011","30310.4189231751","4.22133983001022","31439.99313237","0.426375895267284"
"DIC2011","33362.3049893176","4.81442315416854","32048.712563171","1.93613092801306"
"MAR2012","32030.071459464","5.11473779465821","32597.256859738","1.71159542052046"
"JUN2012","33422.9560638029","5.50314729410796","33085.919665194","1.49909180259755"
"SEP2012","32012.2848082706","5.61478839803913","33296.632812451","0.636866526272395"
"DIC2012","35050.6279561728","5.06057050733097","33540.136838086","0.731317268645704"
"MAR2013","33190.501110821","3.62293806564133","33931.261803324","1.16614004029305"
"JUN2013","34829.762644664","4.20910280399965","34436.596636882","1.48928983686807"
"SEP2013","33419.318525531","4.39529301231542","34745.903373255","0.898191942817395"
"DIC2013","36436.633487061","3.95429586203487","34826.512869687","0.231997123707095"
"MAR2014","34129.851682061","2.83017893614672","34872.400209264","0.13175978814961"
"JUN2014","35337.986648271","1.45916585419183","35014.622899353","0.407837399305877"
"SEP2014","33756.950547673","1.01028996711605","35014.14330483","-0.00136969780990537"
"DIC2014","37087.340846215","1.78586026446452","35418.001204552","1.15341362547712"
"MAR2015","34904.993631548","2.27115534139406","35514.482174719","0.272406592370333"
"JUN2015","36188.626911393","2.40715542622354","35935.019712515","1.18412971848245"
"SEP2015","34529.926348606","2.28982709750804","35851.61279007","-0.23210484678251"
"DIC2015","37921.047424949","2.24795458426373","36188.343029943","0.93923317158624"
"MAR2016","35940.942762248","2.96791095748455","36436.653103059","0.686160382945822"
"JUN2016","36646.954381886","1.26649588450868","36325.300793975","-0.305605206847737"
"SEP2016","35144.457251959","1.77970522482104","36487.434338816","0.446337790182549"
"DIC2016","38268.416098216","0.916031325227748","36564.384812989","0.21089582089675"
"MAR2017","35802.413789937","-0.385434998818411","36284.17465023","-0.766347264399925"
"JUN2017","36796.863166717","0.409062055386241","36632.302459637","0.959448059003298"
"SEP2017","35812.917649891","1.90203648085856","37314.041442363","1.8610323046911"
"DIC2017","39318.020286212","2.74274269753465","37637.954064533","0.868071668597814"
"MAR2018","37401.428853298","4.46622139150414","38073.500799436","1.15720087801856"
"JUN2018","38607.911255624","4.92174585834019","38384.961493526","0.818051105231232"
"SEP2018","36671.500264488","2.39741040646436","38285.535084616","-0.25902438101123"
"DIC2018","40535.866662492","3.09742547415866","38691.976012422","1.06160440727212"
"MAR2019","37818.338479643","1.11468903495711","38599.957249063","-0.237823892296052"
"JUN2019","39177.304796506","1.47481053070194","38983.06731241","0.992514216725704"
"SEP2019","37919.667534265","3.40364386723959","39389.651247142","1.04297573988634"
"DIC2019","39744.705736287","-1.95175530053997","37807.419252371","-4.01687231207918"
"MAR2020","37884.478179906","0.174887906031635","38709.056224276","2.38481491129139"
"JUN2020","33595.07692518","-14.2486265972637","33654.635005526","-13.0574643552797"
"SEP2020","34507.351234441","-8.99880331688183","35378.605028193","5.12253370860785"
"DIC2020","39746.904771227","0.00553290029266099","37780.581949019","6.78934887034657"
